station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ALO,2022-01-01 10:54,8.10,0.00,68.90,350.00,16.00,0.00,30.00,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.73,KALO 011054Z AUTO 35016KT 10SM CLR M13/M18 A3000 RMK AO2 PRESRR SLP174 T11331178 $,M
ALO,2022-01-01 11:54,6.10,-2.00,68.64,360.00,9.00,0.00,29.98,1016.90,10.00,24.00,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,28.00,360.00,2022-01-01 11:23,-8.69,KALO 011154Z 36009G24KT 10SM SCT110 M14/M19 A2998 RMK AO2 PK WND 36028/1123 SLP169 T11441189 11106 21144 50012 $,M
ALO,2022-01-01 12:54,5.00,-2.90,69.16,350.00,7.00,0.00,30.01,1017.80,10.00,M,FEW,BKN,M,M,9000.00,12000.00,M,M,M,M,M,M,M,M,M,-8.13,KALO 011254Z 35007KT 10SM FEW090 BKN120 M15/M19 A3001 RMK AO2 SLP178 T11501194 $,M
ALO,2022-01-01 13:54,6.10,-0.90,72.31,360.00,14.00,0.00,30.02,1018.40,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,-12.22,KALO 011354Z 36014KT 10SM OVC110 M14/M18 A3002 RMK AO2 SLP184 T11441183 $,M
ALO,2022-01-01 14:54,7.00,0.00,72.41,360.00,17.00,0.00,30.01,1017.90,10.00,22.00,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,26.00,360.00,2022-01-01 14:35,-12.68,KALO 011454Z 36017G22KT 10SM BKN110 M14/M18 A3001 RMK AO2 PK WND 36026/1435 PRESRR SLP179 T11391178 50009 $,M
ALO,2022-01-01 15:54,8.10,0.00,68.90,360.00,16.00,0.00,30.05,1019.40,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,-10.73,KALO 011554Z 36016KT 10SM SCT100 M13/M18 A3005 RMK AO2 SLP194 T11331178 $,M
ALO,2022-01-01 16:54,8.10,0.00,68.90,360.00,17.00,0.00,30.03,1018.80,10.00,23.00,OVC,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,-11.24,KALO 011654Z 36017G23KT 10SM OVC090 M13/M18 A3003 RMK AO2 SLP188 T11331178 $,M
ALO,2022-01-01 17:54,8.10,0.00,68.90,350.00,17.00,0.00,30.02,1018.40,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,M,M,M,27.00,350.00,2022-01-01 17:24,-11.24,KALO 011754Z 35017KT 10SM OVC085 M13/M18 A3002 RMK AO2 PK WND 35027/1724 SLP184 T11331178 11133 21150 50003 $,M
ALO,2022-01-01 18:54,7.00,-0.90,69.41,350.00,20.00,0.00,29.99,1017.40,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,28.00,350.00,2022-01-01 18:32,-14.07,KALO 011854Z 35020KT 10SM OVC065 M14/M18 A2999 RMK AO2 PK WND 35028/1832 SLP174 T11391183 $,M
ALO,2022-01-01 19:54,7.00,-0.90,69.41,350.00,16.00,0.00,30.02,1018.60,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,-12.17,KALO 011954Z 35016KT 10SM OVC055 M14/M18 A3002 RMK AO2 SLP186 T11391183 $,M
ALO,2022-01-01 20:54,7.00,-0.90,69.41,360.00,14.00,0.00,30.03,1018.90,10.00,M,BKN,OVC,M,M,4400.00,5000.00,M,M,M,M,M,M,M,M,M,-11.06,KALO 012054Z 36014KT 10SM BKN044 OVC050 M14/M18 A3003 RMK AO2 SLP189 T11391183 53003 $,M
ALO,2022-01-01 21:54,7.00,-0.90,69.41,350.00,14.00,T,30.05,1019.50,4.00,M,BKN,OVC,M,M,3900.00,4800.00,M,M,-SN,M,M,M,M,M,M,-11.06,KALO 012154Z 35014KT 4SM -SN BKN039 OVC048 M14/M18 A3005 RMK AO2 SNB50 SLP195 P0000 T11391183 $,M
ALO,2022-01-01 22:54,6.10,-2.00,68.64,350.00,15.00,T,30.06,1019.90,10.00,24.00,OVC,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,-12.80,KALO 012254Z 35015G24KT 10SM OVC049 M14/M19 A3006 RMK AO2 SNE24 SLP199 P0000 T11441189 $,M
ALO,2022-01-01 23:54,5.00,-2.90,69.16,340.00,15.00,0.00,30.06,1020.10,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,-14.22,KALO 012354Z 34015KT 10SM OVC050 M15/M19 A3006 RMK AO2 SLP201 60000 T11501194 11133 21150 51011 $,M
ALO,2022-01-02 00:54,5.00,-2.90,69.16,350.00,13.00,0.00,30.07,1020.40,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,-13.02,KALO 020054Z 35013KT 10SM OVC065 M15/M19 A3007 RMK AO2 SLP204 T11501194 $,M
ALO,2022-01-02 01:54,3.90,-5.10,65.47,330.00,14.00,0.00,30.11,1021.60,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,-15.06,KALO 020154Z AUTO 33014KT 10SM OVC065 M16/M21 A3011 RMK AO2 SLP216 T11561206 $,M
ALO,2022-01-02 02:54,3.90,-5.10,65.47,330.00,11.00,0.00,30.11,1021.70,10.00,M,FEW,BKN,OVC,M,6000.00,8000.00,12000.00,M,M,M,M,M,M,M,M,-13.04,KALO 020254Z AUTO 33011KT 10SM FEW060 BKN080 OVC120 M16/M21 A3011 RMK AO2 SLP217 T11561206 51015 $,M
ALO,2022-01-02 03:54,3.00,-6.00,65.35,340.00,15.00,0.00,30.12,1022.10,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,-16.82,KALO 020354Z AUTO 34015KT 10SM OVC080 M16/M21 A3012 RMK AO2 SLP221 T11611211 $,M
ALO,2022-01-02 04:54,0.00,-8.00,68.19,340.00,9.00,0.00,30.15,1023.10,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,-16.28,KALO 020454Z AUTO 34009KT 10SM BKN095 M18/M22 A3015 RMK AO2 SLP231 T11781222 $,M
ALO,2022-01-02 05:54,-2.00,-9.90,68.27,320.00,10.00,0.00,30.17,1023.90,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,-19.67,KALO 020554Z AUTO 32010KT 10SM OVC075 M19/M23 A3017 RMK AO2 SLP239 T11891233 11150 21189 411111189 53020 $,M
ALO,2022-01-02 06:54,-2.00,-11.00,64.65,330.00,10.00,0.00,30.16,1023.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-19.67,KALO 020654Z AUTO 33010KT 10SM CLR M19/M24 A3016 RMK AO2 SLP236 T11891239 $,M
ALO,2022-01-02 07:54,-5.10,-13.00,67.86,330.00,11.00,0.00,30.19,1024.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-24.42,KALO 020754Z AUTO 33011KT 10SM CLR M21/M25 A3019 RMK AO2 SLP247 T12061250 $,M
ALO,2022-01-02 08:54,-6.00,-15.00,64.08,320.00,10.00,0.00,30.21,1025.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-24.68,KALO 020854Z AUTO 32010KT 10SM CLR M21/M26 A3021 RMK AO2 SLP254 T12111261 53014 $,M
ALO,2022-01-02 09:54,-8.00,-16.10,66.79,320.00,7.00,0.00,30.20,1024.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-23.98,KALO 020954Z AUTO 32007KT 10SM CLR M22/M27 A3020 RMK AO2 SLP249 T12221267 $,M
ALO,2022-01-02 10:54,-8.00,-16.10,66.79,320.00,11.00,0.00,30.21,1025.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-28.08,KALO 021054Z AUTO 32011KT 10SM CLR M22/M27 A3021 RMK AO2 SLP253 T12221267 $,M
ALO,2022-01-02 11:54,-9.00,-17.00,66.99,310.00,9.00,0.00,30.22,1025.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-27.47,KALO 021154Z 31009KT 10SM CLR M23/M27 A3022 RMK AO2 SLP258 T12281272 11189 21228 53002 $,M
ALO,2022-01-02 12:54,-9.00,-17.00,66.99,320.00,10.00,0.00,30.24,1026.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-28.45,KALO 021254Z 32010KT 10SM CLR M23/M27 A3024 RMK AO2 SLP266 T12281272 $,M
ALO,2022-01-02 13:54,-9.00,-17.00,66.99,320.00,8.00,0.00,30.28,1027.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-26.39,KALO 021354Z 32008KT 10SM CLR M23/M27 A3028 RMK AO2 SLP279 T12281272 $,M
ALO,2022-01-02 14:54,-7.10,-16.10,63.92,310.00,7.00,0.00,30.30,1028.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-22.88,KALO 021454Z 31007KT 10SM CLR M22/M27 A3030 RMK AO2 SLP284 T12171267 51026 $,M
ALO,2022-01-02 15:54,-4.00,-14.10,60.91,340.00,8.00,0.00,30.31,1029.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-20.23,KALO 021554Z 34008KT 10SM CLR M20/M26 A3031 RMK AO2 SLP290 T12001256 $,M
ALO,2022-01-02 16:54,-0.90,-13.00,55.56,330.00,7.00,0.00,30.30,1028.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-15.32,KALO 021654Z 33007KT 10SM CLR M18/M25 A3030 RMK AO2 SLP284 T11831250,M
ALO,2022-01-02 17:54,1.90,-11.00,53.84,340.00,5.00,0.00,30.29,1028.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.35,KALO 021754Z 34005KT 10SM CLR M17/M24 A3029 RMK AO2 SLP280 T11671239 11167 21228 58004,M
ALO,2022-01-02 18:54,5.00,-8.00,54.09,340.00,5.00,0.00,30.28,1027.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.67,KALO 021854Z 34005KT 10SM CLR M15/M22 A3028 RMK AO2 SLP276 T11501222,M
ALO,2022-01-02 19:54,8.10,-6.00,51.77,290.00,4.00,0.00,30.26,1027.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.49,KALO 021954Z 29004KT 10SM CLR M13/M21 A3026 RMK AO2 SLP271 T11331211,M
ALO,2022-01-02 20:54,8.10,-7.10,49.09,310.00,6.00,0.00,30.27,1027.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-3.25,KALO 022054Z 31006KT 10SM CLR M13/M22 A3027 RMK AO2 SLP275 T11331217 55004,M
ALO,2022-01-02 21:54,7.00,-11.00,42.60,320.00,6.00,0.00,30.28,1027.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-4.58,KALO 022154Z 32006KT 10SM CLR M14/M24 A3028 RMK AO2 SLP279 T11391239,M
ALO,2022-01-02 22:54,5.00,-11.00,46.67,310.00,3.00,0.00,30.30,1028.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-2.18,KALO 022254Z 31003KT 10SM CLR M15/M24 A3030 RMK AO2 SLP284 T11501239,M
ALO,2022-01-02 23:54,3.00,-8.00,59.30,260.00,3.00,0.00,30.33,1029.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-4.46,KALO 022354Z 26003KT 10SM CLR M16/M22 A3033 RMK AO2 SLP296 T11611222 11128 21167 53018,M
ALO,2022-01-03 00:54,1.00,-8.00,65.07,0.00,0.00,0.00,30.32,1029.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.00,KALO 030054Z 00000KT 10SM CLR M17/M22 A3032 RMK AO2 SLP295 T11721222,M
ALO,2022-01-03 01:54,1.00,-8.00,65.07,150.00,4.00,0.00,30.31,1029.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-8.78,KALO 030154Z AUTO 15004KT 10SM CLR M17/M22 A3031 RMK AO2 SLP290 T11721222,M
ALO,2022-01-03 02:54,1.00,-7.10,67.99,170.00,4.00,0.00,30.31,1028.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-8.78,KALO 030254Z AUTO 17004KT 10SM CLR M17/M22 A3031 RMK AO2 SLP289 T11721217 55006,M
ALO,2022-01-03 03:54,1.90,-6.00,68.77,200.00,3.00,0.00,30.30,1028.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.72,KALO 030354Z AUTO 20003KT 10SM CLR M17/M21 A3030 RMK AO2 SLP286 T11671211,M
ALO,2022-01-03 04:54,3.00,-5.10,68.25,200.00,6.00,0.00,30.31,1028.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.40,KALO 030454Z AUTO 20006KT 10SM CLR M16/M21 A3031 RMK AO2 SLP288 T11611206,M
ALO,2022-01-03 05:54,1.90,-6.00,68.77,180.00,5.00,0.00,30.30,1028.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.35,KALO 030554Z AUTO 18005KT 10SM CLR M17/M21 A3030 RMK AO2 SLP284 T11671211 11156 21183 411281228 58003,M
ALO,2022-01-03 06:54,1.90,-6.00,68.77,190.00,4.00,0.00,30.27,1027.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-7.73,KALO 030654Z AUTO 19004KT 10SM CLR M17/M21 A3027 RMK AO2 SLP274 T11671211,M
ALO,2022-01-03 07:54,3.00,-5.10,68.25,190.00,5.00,0.00,30.28,1027.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-8.05,KALO 030754Z AUTO 19005KT 10SM CLR M16/M21 A3028 RMK AO2 SLP277 T11611206,M
ALO,2022-01-03 08:54,1.90,-5.10,71.82,150.00,4.00,0.00,30.27,1027.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-7.73,KALO 030854Z AUTO 15004KT 10SM CLR M17/M21 A3027 RMK AO2 SLP272 T11671206 56009,M
ALO,2022-01-03 09:54,1.90,-5.10,71.82,160.00,5.00,0.00,30.26,1026.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.35,KALO 030954Z AUTO 16005KT 10SM CLR M17/M21 A3026 RMK AO2 SLP268 T11671206,M
ALO,2022-01-03 10:54,3.00,-5.10,68.25,170.00,6.00,0.00,30.25,1026.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.40,KALO 031054Z AUTO 17006KT 10SM CLR M16/M21 A3025 RMK AO2 SLP266 T11611206,M
ALO,2022-01-03 11:54,3.00,-5.10,68.25,160.00,6.00,0.00,30.23,1026.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.40,KALO 031154Z 16006KT 10SM CLR M16/M21 A3023 RMK AO2 SLP260 T11611206 11161 21172 58013,M
ALO,2022-01-03 12:54,3.00,-5.10,68.25,160.00,7.00,0.00,30.24,1026.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.57,KALO 031254Z 16007KT 10SM CLR M16/M21 A3024 RMK AO2 SLP263 T11611206,M
ALO,2022-01-03 13:54,3.90,-4.00,69.02,160.00,7.00,0.00,30.23,1026.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.47,KALO 031354Z 16007KT 10SM CLR M16/M20 A3023 RMK AO2 SLP260 T11561200,M
ALO,2022-01-03 14:54,7.00,-0.90,69.41,160.00,6.00,0.00,30.24,1026.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-4.58,KALO 031454Z 16006KT 10SM CLR M14/M18 A3024 RMK AO2 SLP264 T11391183 53004,M
ALO,2022-01-03 15:54,10.90,1.90,66.41,170.00,7.00,0.00,30.25,1026.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.94,KALO 031554Z 17007KT 10SM CLR M12/M17 A3025 RMK AO2 SLP263 T11171167,M
ALO,2022-01-03 16:54,15.10,3.90,60.54,180.00,7.00,0.00,30.24,1026.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.18,KALO 031654Z 18007KT 10SM CLR M09/M16 A3024 RMK AO2 SLP261 T10941156,M
ALO,2022-01-03 17:54,18.00,7.00,61.52,160.00,7.00,0.00,30.20,1024.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,7.71,KALO 031754Z 16007KT 10SM CLR M08/M14 A3020 RMK AO2 SLP247 T10781139 11078 21161 58014,M
ALO,2022-01-03 18:54,19.90,10.00,64.91,190.00,9.00,0.00,30.19,1024.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.47,KALO 031854Z 19009KT 10SM CLR M07/M12 A3019 RMK AO2 SLP241 T10671122,M
ALO,2022-01-03 19:54,23.00,12.90,64.75,190.00,9.00,0.00,30.17,1023.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.32,KALO 031954Z 19009KT 10SM CLR M05/M11 A3017 RMK AO2 SLP234 T10501106,M
ALO,2022-01-03 20:54,24.10,12.90,61.83,170.00,10.00,0.00,30.15,1022.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.06,KALO 032054Z 17010KT 10SM CLR M04/M11 A3015 RMK AO2 SLP229 T10441106 57016,M
ALO,2022-01-03 21:54,23.00,12.90,64.75,170.00,9.00,0.00,30.16,1023.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.32,KALO 032154Z 17009KT 10SM CLR M05/M11 A3016 RMK AO2 SLP230 T10501106,M
ALO,2022-01-03 22:54,21.90,12.00,65.18,160.00,7.00,0.00,30.15,1022.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.47,KALO 032254Z 16007KT 10SM CLR M06/M11 A3015 RMK AO2 SLP229 T10561111,M
ALO,2022-01-03 23:54,21.00,12.00,67.71,160.00,10.00,0.00,30.14,1022.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,9.17,KALO 032354Z 16010KT 10SM CLR M06/M11 A3014 RMK AO2 SLP223 T10611111 11044 21078 58006,M
ALO,2022-01-04 00:54,21.00,12.00,67.71,160.00,11.00,0.00,30.11,1021.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.57,KALO 040054Z 16011KT 10SM CLR M06/M11 A3011 RMK AO2 SLP215 T10611111,M
ALO,2022-01-04 01:54,21.00,12.90,70.45,160.00,8.00,0.00,30.10,1021.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.56,KALO 040154Z AUTO 16008KT 10SM CLR M06/M11 A3010 RMK AO2 SLP211 T10611106,M
ALO,2022-01-04 02:54,21.90,12.90,67.82,160.00,8.00,0.00,30.09,1020.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.67,KALO 040254Z AUTO 16008KT 10SM CLR M06/M11 A3009 RMK AO2 SLP205 T10561106 56016,M
ALO,2022-01-04 03:54,23.00,14.00,67.96,170.00,8.00,0.00,30.07,1019.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.03,KALO 040354Z AUTO 17008KT 10SM CLR M05/M10 A3007 RMK AO2 SLP198 T10501100,M
ALO,2022-01-04 04:54,23.00,15.10,71.30,160.00,5.00,0.00,30.06,1019.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.71,KALO 040454Z AUTO 16005KT 10SM CLR M05/M09 A3006 RMK AO2 SLP195 T10501094,M
ALO,2022-01-04 05:54,21.90,15.10,74.69,160.00,6.00,0.00,30.05,1019.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.37,KALO 040554Z AUTO 16006KT 10SM CLR M06/M09 A3005 RMK AO2 SLP190 T10561094 11044 21061 410441172 56013,M
ALO,2022-01-04 06:54,23.00,17.10,77.77,160.00,9.00,0.00,30.03,1018.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.32,KALO 040654Z AUTO 16009KT 10SM CLR M05/M08 A3003 RMK AO2 SLP183 T10501083,M
ALO,2022-01-04 07:54,24.10,18.00,77.21,150.00,10.00,0.00,30.00,1017.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.06,KALO 040754Z AUTO 15010KT 10SM CLR M04/M08 A3000 RMK AO2 SLP173 T10441078,M
ALO,2022-01-04 08:54,24.10,18.00,77.21,150.00,7.00,0.00,29.98,1016.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.15,KALO 040854Z AUTO 15007KT 10SM CLR M04/M08 A2998 RMK AO2 SLP165 T10441078 58022,M
ALO,2022-01-04 09:54,24.10,18.00,77.21,170.00,10.00,0.00,29.95,1015.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.06,KALO 040954Z AUTO 17010KT 10SM CLR M04/M08 A2995 RMK AO2 SLP153 T10441078,M
ALO,2022-01-04 10:54,25.00,18.00,74.36,160.00,11.00,0.00,29.91,1014.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.62,KALO 041054Z AUTO 16011KT 10SM CLR M04/M08 A2991 RMK AO2 SLP142 T10391078,M
ALO,2022-01-04 11:54,24.10,17.10,74.27,160.00,10.00,0.00,29.88,1013.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.06,KALO 041154Z 16010KT 10SM CLR M04/M08 A2988 RMK AO2 SLP130 T10441083 11039 21056 56034,M
ALO,2022-01-04 12:54,24.10,18.00,77.21,160.00,11.00,0.00,29.85,1012.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.48,KALO 041254Z 16011KT 10SM CLR M04/M08 A2985 RMK AO2 SLP122 T10441078,M
ALO,2022-01-04 13:54,25.00,18.00,74.36,160.00,10.00,0.00,29.82,1010.90,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.19,KALO 041354Z 16010G20KT 10SM CLR M04/M08 A2982 RMK AO2 SLP109 T10391078,M
ALO,2022-01-04 14:54,26.10,19.00,74.16,160.00,11.00,0.00,29.78,1009.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.01,KALO 041454Z 16011KT 10SM CLR M03/M07 A2978 RMK AO2 SLP095 T10331072 58034,M
ALO,2022-01-04 15:54,28.90,21.00,71.96,160.00,12.00,0.00,29.75,1008.60,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,18.06,KALO 041554Z 16012G20KT 10SM CLR M02/M06 A2975 RMK AO2 SLP086 T10171061,M
ALO,2022-01-04 16:54,30.00,21.90,71.48,160.00,12.00,0.00,29.73,1007.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.46,KALO 041654Z 16012KT 10SM CLR M01/M06 A2973 RMK AO2 SLP077 T10111056,M
ALO,2022-01-04 17:54,32.00,21.90,65.92,160.00,13.00,0.00,29.66,1005.60,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.57,KALO 041754Z 16013G21KT 10SM CLR 00/M06 A2966 RMK AO2 SLP056 T00001056 10000 21044 58038,M
ALO,2022-01-04 18:54,33.10,23.00,66.06,160.00,11.00,0.00,29.61,1003.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.86,KALO 041854Z 16011KT 10SM CLR 01/M05 A2961 RMK AO2 SLP036 T00061050,M
